provider_id,provider_name,provider_street_address,provider_city,provider_state,provider_zipcode,apc,hospital_referral_region,outpatient_services,average_estimated_submitted_charges,average_total_payments
330009,nonsb,1276 Fulton Avenue,Bronx,NY,10456,0269 - Level I Echocardiogram Without Contrast,NY - Bronx,228,1069.0271053,474.98346491
330009,nonsb,1276 Fulton Avenue,Bronx,NY,10456,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,NY - Bronx,86,812.99953488,320.39593023
330009,nonsb,1276 Fulton Avenue,Bronx,NY,10456,0632 - Level 2 Examinations & Related Services,NY - Bronx,948,309.95804852,121.34257384
330009,nonsb,1276 Fulton Avenue,Bronx,NY,10456,0634 - Hospital Clinic Visits,NY - Bronx,14412,289.88013045,110.88372745
330009,nonsb,1276 Fulton Avenue,Bronx,NY,10456,0698 - Level II Eye Tests & Treatments,NY - Bronx,71,290.07126761,92.393098592
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0015 - Level II Debridement & Destruction,NY - Bronx,100,531.8095,159.6639
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0019 - Level I Excision/ Biopsy,NY - Bronx,18,6622.6222222,426.75666667
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0020 - Level II Excision/ Biopsy,NY - Bronx,52,13730.748077,925.33288462
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0073 - Level III Endoscopy Upper Airway,NY - Bronx,35,4714.8842857,1356.16
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0074 - Level IV Endoscopy Upper Airway,NY - Bronx,15,17458.041333,2330.95
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0203 - Level IV Nerve Injections,NY - Bronx,41,6326.5756098,1434.3612195
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0204 - Level I Nerve Injections,NY - Bronx,469,1949.4320256,224.29238806
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0206 - Level II Nerve Injections,NY - Bronx,150,2523.9426667,360.2614
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0207 - Level III Nerve Injections,NY - Bronx,646,5810.4003715,682.25099071
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0231 - Level III Eye Tests & Treatments,NY - Bronx,447,504.79865772,362.1252349
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0265 - Level I Diagnostic and Screening Ultrasound,NY - Bronx,604,1198.2615894,97.290728477
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0267 - Level III Diagnostic and Screening Ultrasound,NY - Bronx,1515,2208.8217294,179.00587459
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0269 - Level I Echocardiogram Without Contrast,NY - Bronx,1419,3747.5416561,465.56656096
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0270 - Level II Echocardiogram Without Contrast,NY - Bronx,123,6898.5617886,668.34178862
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,NY - Bronx,985,4899.9558376,311.09036548
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0369 - Level II Pulmonary Tests,NY - Bronx,127,2078.1889764,268.69283465
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0377 - Level II Cardiac Imaging,NY - Bronx,164,7389.4260976,1268.4464634
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0631 - Level 1 Examinations & Related Services,NY - Bronx,75,271.49333333,60.8264
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0632 - Level 2 Examinations & Related Services,NY - Bronx,4242,238.78253182,120.33468883
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0634 - Hospital Clinic Visits,NY - Bronx,64614,228.72758504,110.75977869
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0690 - Level I Electronic Analysis of Devices,NY - Bronx,462,150.4004329,76.336298701
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0692 - Level II Electronic Analysis of Devices,NY - Bronx,38,256.5,133.02947368
330059,nonsb,111 East 210th Street,Bronx,NY,10467,0698 - Level II Eye Tests & Treatments,NY - Bronx,756,214.95502646,115.01281746
330184,nonsb,16 Guion Place,New Rochelle,NY,10802,0204 - Level I Nerve Injections,NY - Bronx,11,2445.3036364,244.94454545
330184,nonsb,16 Guion Place,New Rochelle,NY,10802,0207 - Level III Nerve Injections,NY - Bronx,307,3681.6885668,747.55693811
330184,nonsb,16 Guion Place,New Rochelle,NY,10802,0265 - Level I Diagnostic and Screening Ultrasound,NY - Bronx,64,300.8125,104.9
330184,nonsb,16 Guion Place,New Rochelle,NY,10802,0267 - Level III Diagnostic and Screening Ultrasound,NY - Bronx,180,643.72777778,113.59683333
330184,nonsb,16 Guion Place,New Rochelle,NY,10802,0377 - Level II Cardiac Imaging,NY - Bronx,35,4978.3428571,1202.9594286
330184,nonsb,16 Guion Place,New Rochelle,NY,10802,0634 - Hospital Clinic Visits,NY - Bronx,1556,198.15167095,111.69489075
330399,nonsb,4422 Third Avenue,Bronx,NY,10457,0012 - Level I Debridement & Destruction,NY - Bronx,32,306.5390625,91.3425
330399,nonsb,4422 Third Avenue,Bronx,NY,10457,0015 - Level II Debridement & Destruction,NY - Bronx,84,321.00285714,151.23904762
330399,nonsb,4422 Third Avenue,Bronx,NY,10457,0020 - Level II Excision/ Biopsy,NY - Bronx,11,3223.18,958.45
330399,nonsb,4422 Third Avenue,Bronx,NY,10457,0204 - Level I Nerve Injections,NY - Bronx,17,270.43411765,223.44823529
330399,nonsb,4422 Third Avenue,Bronx,NY,10457,"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NY - Bronx,12,353.19916667,245.8225
330399,nonsb,4422 Third Avenue,Bronx,NY,10457,0265 - Level I Diagnostic and Screening Ultrasound,NY - Bronx,109,298.76614679,97.725137615
330399,nonsb,4422 Third Avenue,Bronx,NY,10457,0267 - Level III Diagnostic and Screening Ultrasound,NY - Bronx,123,502.15585366,181.45113821
330399,nonsb,4422 Third Avenue,Bronx,NY,10457,0269 - Level I Echocardiogram Without Contrast,NY - Bronx,123,516.82073171,452.37943089
330399,nonsb,4422 Third Avenue,Bronx,NY,10457,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,NY - Bronx,67,1564.7655224,334.00402985
330399,nonsb,4422 Third Avenue,Bronx,NY,10457,0369 - Level II Pulmonary Tests,NY - Bronx,63,671.51333333,281.37603175
330399,nonsb,4422 Third Avenue,Bronx,NY,10457,0632 - Level 2 Examinations & Related Services,NY - Bronx,659,314.35503794,119.18766313
330399,nonsb,4422 Third Avenue,Bronx,NY,10457,0634 - Hospital Clinic Visits,NY - Bronx,7533,331.50934422,111.18244126
330399,nonsb,4422 Third Avenue,Bronx,NY,10457,0690 - Level I Electronic Analysis of Devices,NY - Bronx,15,126.01333333,40.804
330399,nonsb,4422 Third Avenue,Bronx,NY,10457,0698 - Level II Eye Tests & Treatments,NY - Bronx,35,126.30914286,96.972857143
330277,nonsb,1 Guthrie Drive,Corning,NY,14830,0020 - Level II Excision/ Biopsy,PA - Sayre,11,5369.9727273,763.82090909
330277,nonsb,1 Guthrie Drive,Corning,NY,14830,0203 - Level IV Nerve Injections,PA - Sayre,18,3850.2855556,1282.1305556
330277,nonsb,1 Guthrie Drive,Corning,NY,14830,0204 - Level I Nerve Injections,PA - Sayre,40,1345.05625,185.3275
330277,nonsb,1 Guthrie Drive,Corning,NY,14830,0207 - Level III Nerve Injections,PA - Sayre,235,1622.3753191,526.96765957
330277,nonsb,1 Guthrie Drive,Corning,NY,14830,0265 - Level I Diagnostic and Screening Ultrasound,PA - Sayre,158,712.46518987,82.803481013
330277,nonsb,1 Guthrie Drive,Corning,NY,14830,0267 - Level III Diagnostic and Screening Ultrasound,PA - Sayre,177,922.40564972,168.18502825
330277,nonsb,1 Guthrie Drive,Corning,NY,14830,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,PA - Sayre,456,3167.1798246,258.70467105
330277,nonsb,1 Guthrie Drive,Corning,NY,14830,0369 - Level II Pulmonary Tests,PA - Sayre,24,968.03125,228.8225
330277,nonsb,1 Guthrie Drive,Corning,NY,14830,0377 - Level II Cardiac Imaging,PA - Sayre,72,6722.5277778,946.03875
330277,nonsb,1 Guthrie Drive,Corning,NY,14830,0634 - Hospital Clinic Visits,PA - Sayre,1658,451.2740953,93.30995778
330003,nonsb,600 Northern Boulevard,Albany,NY,12204,0015 - Level II Debridement & Destruction,NY - Albany,184,480.80559783,104.16375
330003,nonsb,600 Northern Boulevard,Albany,NY,12204,0265 - Level I Diagnostic and Screening Ultrasound,NY - Albany,268,946.0858209,81.094664179
330003,nonsb,600 Northern Boulevard,Albany,NY,12204,0267 - Level III Diagnostic and Screening Ultrasound,NY - Albany,268,933.76380597,147.61537313
330003,nonsb,600 Northern Boulevard,Albany,NY,12204,0269 - Level I Echocardiogram Without Contrast,NY - Albany,121,1520.892562,371.99768595
330003,nonsb,600 Northern Boulevard,Albany,NY,12204,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,NY - Albany,291,2048.2590378,246.02013746
330003,nonsb,600 Northern Boulevard,Albany,NY,12204,0377 - Level II Cardiac Imaging,NY - Albany,17,5446.7470588,923.22235294
330003,nonsb,600 Northern Boulevard,Albany,NY,12204,0632 - Level 2 Examinations & Related Services,NY - Albany,52,169.09615385,89.280384615
330003,nonsb,600 Northern Boulevard,Albany,NY,12204,0634 - Hospital Clinic Visits,NY - Albany,7818,177.20990023,84.804978255
330004,nonsb,396 Broadway,Kingston,NY,12401,0015 - Level II Debridement & Destruction,NY - Albany,58,293.15344828,138.98603448
330004,nonsb,396 Broadway,Kingston,NY,12401,0020 - Level II Excision/ Biopsy,NY - Albany,16,2121.065625,814.18
330004,nonsb,396 Broadway,Kingston,NY,12401,0265 - Level I Diagnostic and Screening Ultrasound,NY - Albany,64,353.515625,87.54015625
330004,nonsb,396 Broadway,Kingston,NY,12401,0267 - Level III Diagnostic and Screening Ultrasound,NY - Albany,333,1162.5405405,176.72465465
330004,nonsb,396 Broadway,Kingston,NY,12401,0269 - Level I Echocardiogram Without Contrast,NY - Albany,456,1323.83125,401.32583333
330004,nonsb,396 Broadway,Kingston,NY,12401,0270 - Level II Echocardiogram Without Contrast,NY - Albany,15,1854.94,585.73
330004,nonsb,396 Broadway,Kingston,NY,12401,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,NY - Albany,179,1792.6100559,288.11944134
330004,nonsb,396 Broadway,Kingston,NY,12401,0377 - Level II Cardiac Imaging,NY - Albany,219,3802.0381279,1100.2006393
330004,nonsb,396 Broadway,Kingston,NY,12401,0634 - Hospital Clinic Visits,NY - Albany,4442,78.560702386,76.140718145
330013,nonsb,43 New Scotland Avenue,Albany,NY,12208,0020 - Level II Excision/ Biopsy,NY - Albany,32,10501.705313,720.2728125
330013,nonsb,43 New Scotland Avenue,Albany,NY,12208,0074 - Level IV Endoscopy Upper Airway,NY - Albany,17,6825.6858824,1804.22
330013,nonsb,43 New Scotland Avenue,Albany,NY,12208,0206 - Level II Nerve Injections,NY - Albany,53,3230.4309434,314.11811321
330013,nonsb,43 New Scotland Avenue,Albany,NY,12208,0207 - Level III Nerve Injections,NY - Albany,218,3858.9951835,476.36513761
330013,nonsb,43 New Scotland Avenue,Albany,NY,12208,0265 - Level I Diagnostic and Screening Ultrasound,NY - Albany,315,1362.8678095,80.511746032
330013,nonsb,43 New Scotland Avenue,Albany,NY,12208,0267 - Level III Diagnostic and Screening Ultrasound,NY - Albany,178,1737.366573,145.6744382
330013,nonsb,43 New Scotland Avenue,Albany,NY,12208,0269 - Level I Echocardiogram Without Contrast,NY - Albany,399,2356.2758647,368.34761905
330013,nonsb,43 New Scotland Avenue,Albany,NY,12208,0270 - Level II Echocardiogram Without Contrast,NY - Albany,82,5389.4542683,527.18829268
330013,nonsb,43 New Scotland Avenue,Albany,NY,12208,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,NY - Albany,445,4147.2144944,245.85170787
330013,nonsb,43 New Scotland Avenue,Albany,NY,12208,0369 - Level II Pulmonary Tests,NY - Albany,181,1186.7845304,209.50033149
330013,nonsb,43 New Scotland Avenue,Albany,NY,12208,0377 - Level II Cardiac Imaging,NY - Albany,78,4695.6133333,1023.6798718
330013,nonsb,43 New Scotland Avenue,Albany,NY,12208,0634 - Hospital Clinic Visits,NY - Albany,1197,309.30099415,85.308964077
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0012 - Level I Debridement & Destruction,NY - Albany,11,1204.8790909,63.387272727
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0015 - Level II Debridement & Destruction,NY - Albany,384,410.38473958,162.72932292
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0020 - Level II Excision/ Biopsy,NY - Albany,16,4783.85375,926.714375
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0096 - Level II Noninvasive Physiologic Studies,NY - Albany,23,1137.0,389.09
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0203 - Level IV Nerve Injections,NY - Albany,45,4368.7077778,1284.0188889
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0204 - Level I Nerve Injections,NY - Albany,57,4161.8096491,240.14964912
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0206 - Level II Nerve Injections,NY - Albany,45,2629.4328889,322.78666667
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0207 - Level III Nerve Injections,NY - Albany,464,2786.258125,699.78928879
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0265 - Level I Diagnostic and Screening Ultrasound,NY - Albany,770,569.09290909,95.887506494
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0267 - Level III Diagnostic and Screening Ultrasound,NY - Albany,2574,1313.4740326,209.6431857
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0269 - Level I Echocardiogram Without Contrast,NY - Albany,5036,2615.2478177,493.44935068
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0270 - Level II Echocardiogram Without Contrast,NY - Albany,111,3089.1540541,685.8690991
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,NY - Albany,337,1735.1395549,332.26682493
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0369 - Level II Pulmonary Tests,NY - Albany,565,1310.5814513,277.42840708
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0377 - Level II Cardiac Imaging,NY - Albany,2232,6101.2180511,1328.7079884
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0634 - Hospital Clinic Visits,NY - Albany,2797,172.76008938,113.28042546
330023,nonsb,45 Reade Place,Poughkeepsie,NY,12601,0690 - Level I Electronic Analysis of Devices,NY - Albany,3852,326.23161994,40.827411734
330047,nonsb,427 Guy Park Avenue,Amsterdam,NY,12010,0020 - Level II Excision/ Biopsy,NY - Albany,17,1343.8635294,729.85
330047,nonsb,427 Guy Park Avenue,Amsterdam,NY,12010,0204 - Level I Nerve Injections,NY - Albany,39,1170.5292308,172.42512821
330047,nonsb,427 Guy Park Avenue,Amsterdam,NY,12010,0207 - Level III Nerve Injections,NY - Albany,240,1586.9397917,478.54058333
330047,nonsb,427 Guy Park Avenue,Amsterdam,NY,12010,0265 - Level I Diagnostic and Screening Ultrasound,NY - Albany,186,575.96532258,81.256021505
330047,nonsb,427 Guy Park Avenue,Amsterdam,NY,12010,0267 - Level III Diagnostic and Screening Ultrasound,NY - Albany,223,883.07466368,152.12623318
330047,nonsb,427 Guy Park Avenue,Amsterdam,NY,12010,0269 - Level I Echocardiogram Without Contrast,NY - Albany,264,1891.9782197,362.33606061
330047,nonsb,427 Guy Park Avenue,Amsterdam,NY,12010,0270 - Level II Echocardiogram Without Contrast,NY - Albany,11,2499.4363636,440.08727273
330047,nonsb,427 Guy Park Avenue,Amsterdam,NY,12010,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,NY - Albany,287,2710.1205575,250.97006969
330047,nonsb,427 Guy Park Avenue,Amsterdam,NY,12010,0369 - Level II Pulmonary Tests,NY - Albany,166,531.66506024,205.61554217
330047,nonsb,427 Guy Park Avenue,Amsterdam,NY,12010,0631 - Level 1 Examinations & Related Services,NY - Albany,191,66.434502618,32.154973822
330047,nonsb,427 Guy Park Avenue,Amsterdam,NY,12010,0634 - Hospital Clinic Visits,NY - Albany,12514,103.43671808,84.432374141
330049,nonsb,6511 Springbrook Avenue,Rhinebeck,NY,12572,0012 - Level I Debridement & Destruction,NY - Albany,49,151.10510204,113.83836735
330049,nonsb,6511 Springbrook Avenue,Rhinebeck,NY,12572,0015 - Level II Debridement & Destruction,NY - Albany,334,317.23032934,166.96769461
330049,nonsb,6511 Springbrook Avenue,Rhinebeck,NY,12572,0204 - Level I Nerve Injections,NY - Albany,17,811.17058824,234.68882353
330049,nonsb,6511 Springbrook Avenue,Rhinebeck,NY,12572,0206 - Level II Nerve Injections,NY - Albany,21,1748.35,442.52952381
330049,nonsb,6511 Springbrook Avenue,Rhinebeck,NY,12572,0207 - Level III Nerve Injections,NY - Albany,148,808.25405405,701.42317568
330049,nonsb,6511 Springbrook Avenue,Rhinebeck,NY,12572,0265 - Level I Diagnostic and Screening Ultrasound,NY - Albany,161,543.89440994,105.70962733
330049,nonsb,6511 Springbrook Avenue,Rhinebeck,NY,12572,0267 - Level III Diagnostic and Screening Ultrasound,NY - Albany,201,989.56716418,191.48666667
330049,nonsb,6511 Springbrook Avenue,Rhinebeck,NY,12572,0269 - Level I Echocardiogram Without Contrast,NY - Albany,245,1591.4783673,472.75616327
330049,nonsb,6511 Springbrook Avenue,Rhinebeck,NY,12572,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,NY - Albany,307,2489.5570033,333.27420195
330049,nonsb,6511 Springbrook Avenue,Rhinebeck,NY,12572,0369 - Level II Pulmonary Tests,NY - Albany,95,1876.5578947,274.81884211
330049,nonsb,6511 Springbrook Avenue,Rhinebeck,NY,12572,0377 - Level II Cardiac Imaging,NY - Albany,143,5278.5893706,1263.415035
330049,nonsb,6511 Springbrook Avenue,Rhinebeck,NY,12572,0632 - Level 2 Examinations & Related Services,NY - Albany,44,154.61363636,114.45295455
330049,nonsb,6511 Springbrook Avenue,Rhinebeck,NY,12572,0634 - Hospital Clinic Visits,NY - Albany,819,185.0141514,113.42858364
330057,nonsb,315 South Manning Boulevard,Albany,NY,12208,0020 - Level II Excision/ Biopsy,NY - Albany,14,7751.325,746.10357143
330057,nonsb,315 South Manning Boulevard,Albany,NY,12208,0096 - Level II Noninvasive Physiologic Studies,NY - Albany,14,2924.5642857,312.08
330057,nonsb,315 South Manning Boulevard,Albany,NY,12208,0204 - Level I Nerve Injections,NY - Albany,25,1541.3936,261.8092
330057,nonsb,315 South Manning Boulevard,Albany,NY,12208,0265 - Level I Diagnostic and Screening Ultrasound,NY - Albany,629,686.27337043,83.672559618
330057,nonsb,315 South Manning Boulevard,Albany,NY,12208,0267 - Level III Diagnostic and Screening Ultrasound,NY - Albany,1053,1506.0276353,150.50936372
330057,nonsb,315 South Manning Boulevard,Albany,NY,12208,0269 - Level I Echocardiogram Without Contrast,NY - Albany,2278,3201.9281607,386.77430641
330057,nonsb,315 South Manning Boulevard,Albany,NY,12208,0270 - Level II Echocardiogram Without Contrast,NY - Albany,63,5469.3738095,546.9915873
330057,nonsb,315 South Manning Boulevard,Albany,NY,12208,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,NY - Albany,302,3052.5511921,238.17480132
330057,nonsb,315 South Manning Boulevard,Albany,NY,12208,0369 - Level II Pulmonary Tests,NY - Albany,91,932.27472527,205.07065934
330057,nonsb,315 South Manning Boulevard,Albany,NY,12208,0377 - Level II Cardiac Imaging,NY - Albany,661,6694.4524357,1043.9461573
330057,nonsb,315 South Manning Boulevard,Albany,NY,12208,0631 - Level 1 Examinations & Related Services,NY - Albany,85,104.21176471,46.365411765
330057,nonsb,315 South Manning Boulevard,Albany,NY,12208,0634 - Hospital Clinic Visits,NY - Albany,4422,133.81322931,90.713077793
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0012 - Level I Debridement & Destruction,NY - Albany,14,219.42857143,79.860714286
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0015 - Level II Debridement & Destruction,NY - Albany,61,190.06557377,150.69311475
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0019 - Level I Excision/ Biopsy,NY - Albany,34,381.66176471,378.82882353
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0020 - Level II Excision/ Biopsy,NY - Albany,19,998.60263158,852.01
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0203 - Level IV Nerve Injections,NY - Albany,70,6041.9295714,1454.7354286
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0204 - Level I Nerve Injections,NY - Albany,632,300.99738924,208.49330696
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0206 - Level II Nerve Injections,NY - Albany,17,1316.0870588,339.02
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0207 - Level III Nerve Injections,NY - Albany,794,2442.7366751,617.99034005
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0265 - Level I Diagnostic and Screening Ultrasound,NY - Albany,289,576.04761246,91.262110727
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0267 - Level III Diagnostic and Screening Ultrasound,NY - Albany,760,653.35855263,184.96609211
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0269 - Level I Echocardiogram Without Contrast,NY - Albany,17,1414.9411765,373.28588235
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,NY - Albany,883,1702.3307361,290.42629672
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0369 - Level II Pulmonary Tests,NY - Albany,228,1443.8552632,237.66149123
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0377 - Level II Cardiac Imaging,NY - Albany,190,3466.3103158,1136.1715263
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0631 - Level 1 Examinations & Related Services,NY - Albany,343,108.53644315,52.022274052
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0632 - Level 2 Examinations & Related Services,NY - Albany,100,151.84,108.2331
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0634 - Hospital Clinic Visits,NY - Albany,42410,125.531,99.378101863
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0690 - Level I Electronic Analysis of Devices,NY - Albany,286,103.82342657,36.617622378
330094,nonsb,71 Prospect Avenue,Hudson,NY,12534,0692 - Level II Electronic Analysis of Devices,NY - Albany,12,168.0,71.631666667
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0012 - Level I Debridement & Destruction,NY - Albany,235,75.045531915,84.134
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0015 - Level II Debridement & Destruction,NY - Albany,1179,116.92916031,126.24495335
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0019 - Level I Excision/ Biopsy,NY - Albany,80,652.5315,380.741625
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0020 - Level II Excision/ Biopsy,NY - Albany,110,1086.786,829.30672727
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0073 - Level III Endoscopy Upper Airway,NY - Albany,17,993.93294118,1018.2494118
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0074 - Level IV Endoscopy Upper Airway,NY - Albany,14,7847.3335714,1932.5364286
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0203 - Level IV Nerve Injections,NY - Albany,122,2508.4545902,1449.9370492
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0204 - Level I Nerve Injections,NY - Albany,1064,142.94929511,189.31885338
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0206 - Level II Nerve Injections,NY - Albany,42,346.69619048,334.31880952
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0207 - Level III Nerve Injections,NY - Albany,456,1362.8286404,612.46576754
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0231 - Level III Eye Tests & Treatments,NY - Albany,195,139.9025641,318.51487179
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0265 - Level I Diagnostic and Screening Ultrasound,NY - Albany,206,751.96383495,91.963834951
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0267 - Level III Diagnostic and Screening Ultrasound,NY - Albany,885,932.36099435,186.01316384
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0269 - Level I Echocardiogram Without Contrast,NY - Albany,1529,2268.3065075,422.52801831
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0270 - Level II Echocardiogram Without Contrast,NY - Albany,18,2688.05,554.95055556
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,NY - Albany,545,3203.1161468,291.49031193
330136,nonsb,One Atwell Road,Cooperstown,NY,13326,0369 - Level II Pulmonary Tests,NY - Albany,58,831.58206897,237.81775862
